record_id,rsn,earthquake_name,year,station_name,magnitude,r_rup_km,vs30_ms,mechanism,raw_dt,raw_npts,raw_file,raw_pga_g
RSN0011,11,Christchurch,2011,Station_Chri_011,6.10062828806718,21.073447074251835,238.68714475631148,Reverse-Oblique,0.005,5761,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0011_Christchurch.AT2,0.05298214209001936
RSN0012,12,Tottori (Japan),2000,Station_Tott_012,6.549107967932166,47.961846135384974,250.57576504008787,Strike-Slip,0.005,6479,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0012_Tottori_(Japan).AT2,0.04165308879014746
RSN0013,13,Morgan Hill,1984,Station_Morg_013,6.2938526876381555,3.370846937306905,567.1912143263095,Strike-Slip,0.005,6070,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0013_Morgan_Hill.AT2,0.11625724470463726
RSN0014,14,Whittier Narrows-01,1987,Station_Whit_014,5.901025018984454,22.935807236871074,866.6015743175161,Reverse,0.005,5442,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0014_Whittier_Narrows-01.AT2,0.04508225101930741
RSN0015,15,Parkfield-02,2004,Station_Park_015,5.796618707343666,24.867221135702312,534.700657971586,Strike-Slip,0.005,5275,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0015_Parkfield-02.AT2,0.04056063969484276
RSN0016,16,Darfield (New Zealand),2010,Station_Darf_016,6.840125729111674,13.35016499533692,311.2112335021363,Strike-Slip,0.005,6944,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0016_Darfield_(New_Zealand).AT2,0.10192564236461747
RSN0017,17,Imperial Valley-06,1979,Station_Impe_017,6.693759827690161,55.94484496689745,997.2057216865226,Strike-Slip,0.005,6710,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0017_Imperial_Valley-06.AT2,0.04082998905551498
RSN0018,18,Loma Prieta,1989,Station_Loma_018,7.05693682592491,13.984396187203316,824.5314758792268,Reverse-Oblique,0.005,7291,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0018_Loma_Prieta.AT2,0.11302516839591095
RSN0019,19,Northridge-01,1994,Station_Nort_019,6.567449946388113,11.18765666632242,385.12056279350475,Reverse,0.005,6508,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0019_Northridge-01.AT2,0.0941629667111833
RSN0020,20,Kobe (Hyogo-ken Nanbu),1995,Station_Kobe_020,7.105664650426157,7.313864480124841,184.48719564528628,Strike-Slip,0.005,7369,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0020_Kobe_(Hyogo-ken_Nanbu).AT2,0.15086376412433866
RSN0021,21,Chi-Chi (Taiwan-01),1999,Station_Chi-_021,7.8,106.50332021457442,197.86305566469034,Reverse,0.005,8480,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0021_Chi-Chi_(Taiwan-01).AT2,0.04895683640554265
RSN0022,22,Kocaeli (Turkey),1999,Station_Koca_022,7.509762932879771,80.78197829603253,485.33237619999954,Strike-Slip,0.005,8016,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0022_Kocaeli_(Turkey).AT2,0.05057373249304925
RSN0023,23,Landers,1992,Station_Land_023,7.519666581934599,77.04451213872642,885.7839914136719,Strike-Slip,0.005,8031,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0023_Landers.AT2,0.05260263709653713
RSN0024,24,San Fernando,1971,Station_San _024,6.541948209221138,6.645545346238393,321.13704254981565,Reverse,0.005,6467,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0024_San_Fernando.AT2,0.11254666167010287
RSN0025,25,Hector Mine,1999,Station_Hect_025,6.846647525663333,27.01992005590958,217.07191867301918,Strike-Slip,0.005,6955,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0025_Hector_Mine.AT2,0.0707615745470922
RSN0026,26,Duzce (Turkey),1999,Station_Duzc_026,6.996701128952457,23.76769523095787,230.72638985878496,Strike-Slip,0.005,7195,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0026_Duzce_(Turkey).AT2,0.08303441581127705
RSN0027,27,Christchurch,2011,Station_Chri_027,6.24613598479296,20.97972401939751,463.3365510665914,Reverse-Oblique,0.005,5994,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0027_Christchurch.AT2,0.057750526560019284
RSN0028,28,Tottori (Japan),2000,Station_Tott_028,6.642428259437174,10.773077051903789,570.0288408273551,Strike-Slip,0.005,6628,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0028_Tottori_(Japan).AT2,0.09988272611651837
RSN0029,29,Morgan Hill,1984,Station_Morg_029,6.076637761213183,56.28550688142475,175.51610104945001,Strike-Slip,0.005,5723,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0029_Morgan_Hill.AT2,0.028504180720407023
RSN0030,30,Whittier Narrows-01,1987,Station_Whit_030,5.6832936013197655,2.7500070810782296,738.3283639662533,Reverse,0.005,5093,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0030_Whittier_Narrows-01.AT2,0.08497654068913654
RSN0031,31,Parkfield-02,2004,Station_Park_031,5.88423126521769,91.20648451399474,556.0914878377839,Strike-Slip,0.005,5415,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0031_Parkfield-02.AT2,0.02
RSN0032,32,Darfield (New Zealand),2010,Station_Darf_032,7.004540854206009,6.07634784595432,1043.092277782098,Strike-Slip,0.005,7207,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0032_Darfield_(New_Zealand).AT2,0.15103210862305558
RSN0033,33,Imperial Valley-06,1979,Station_Impe_033,6.714839368269064,68.0252419581402,904.4081109305911,Strike-Slip,0.005,6744,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0033_Imperial_Valley-06.AT2,0.03612482323141531
RSN0034,34,Loma Prieta,1989,Station_Loma_034,6.679878984891867,4.599473094464647,185.14203783062064,Reverse-Oblique,0.005,6688,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0034_Loma_Prieta.AT2,0.1353268548477101
RSN0035,35,Northridge-01,1994,Station_Nort_035,6.524670833770658,10.53590551291622,706.4989929600312,Reverse,0.005,6439,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0035_Northridge-01.AT2,0.09419776755766042
RSN0036,36,Kobe (Hyogo-ken Nanbu),1995,Station_Kobe_036,6.8323267732276,51.78660233441518,407.3288603411199,Strike-Slip,0.005,6932,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0036_Kobe_(Hyogo-ken_Nanbu).AT2,0.04658544303626299
RSN0037,37,Chi-Chi (Taiwan-01),1999,Station_Chi-_037,7.726335746962476,8.051256486995921,503.1996118741468,Reverse,0.005,8362,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0037_Chi-Chi_(Taiwan-01).AT2,0.20857486681925325
RSN0038,38,Kocaeli (Turkey),1999,Station_Koca_038,7.435951887284316,3.6295670326082403,335.60101876817356,Strike-Slip,0.005,7898,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0038_Kocaeli_(Turkey).AT2,0.22094608558682055
RSN0039,39,Landers,1992,Station_Land_039,7.144679441363137,15.410546228077308,453.61782905296593,Strike-Slip,0.005,7431,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0039_Landers.AT2,0.11351222788026039
RSN0040,40,San Fernando,1971,Station_San _040,6.701763548129561,48.167182774861104,610.3769284757589,Reverse,0.005,6723,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0040_San_Fernando.AT2,0.04535053876767285
RSN0041,41,Hector Mine,1999,Station_Hect_041,7.183595778848907,11.428516541600594,843.8999037733138,Strike-Slip,0.005,7494,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0041_Hector_Mine.AT2,0.13304214775276138
RSN0042,42,Duzce (Turkey),1999,Station_Duzc_042,7.437850798398508,10.224623505900468,472.88430636023696,Strike-Slip,0.005,7901,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0042_Duzce_(Turkey).AT2,0.1613029577318881
RSN0043,43,Christchurch,2011,Station_Chri_043,6.048711033876293,3.678558009882374,338.445782902098,Reverse-Oblique,0.005,5678,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0043_Christchurch.AT2,0.09913556659073268
RSN0044,44,Tottori (Japan),2000,Station_Tott_044,6.62818557082254,64.38591747253302,169.94768445089977,Strike-Slip,0.005,6605,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0044_Tottori_(Japan).AT2,0.03570572052863974
RSN0045,45,Morgan Hill,1984,Station_Morg_045,5.971849317715254,7.850392657766625,619.3617868090199,Strike-Slip,0.005,5555,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0045_Morgan_Hill.AT2,0.0766528131868795
RSN0046,46,Whittier Narrows-01,1987,Station_Whit_046,5.92177625020917,54.268608432975945,548.6262453818673,Reverse,0.005,5475,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0046_Whittier_Narrows-01.AT2,0.026725690407643297
RSN0047,47,Parkfield-02,2004,Station_Park_047,5.963670022690653,12.487306695369128,297.24469033377005,Strike-Slip,0.005,5542,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0047_Parkfield-02.AT2,0.06342369486375082
RSN0048,48,Darfield (New Zealand),2010,Station_Darf_048,7.103363168480835,3.9140527917335377,940.5878330936904,Strike-Slip,0.005,7365,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0048_Darfield_(New_Zealand).AT2,0.17945760296878666
RSN0049,49,Imperial Valley-06,1979,Station_Impe_049,6.551695617398673,19.812082429988617,691.131545756943,Strike-Slip,0.005,6483,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0049_Imperial_Valley-06.AT2,0.07100583542307394
RSN0050,50,Loma Prieta,1989,Station_Loma_050,7.302627104847987,108.36139475595148,187.83371091932383,Reverse-Oblique,0.005,7684,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0050_Loma_Prieta.AT2,0.03630552361372908
RSN0051,51,Northridge-01,1994,Station_Nort_051,6.640348504385952,5.30436138292923,230.84769971395616,Reverse,0.005,6625,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0051_Northridge-01.AT2,0.1273851914782605
RSN0052,52,Kobe (Hyogo-ken Nanbu),1995,Station_Kobe_052,6.927588325907724,15.47394122388078,350.202743559578,Strike-Slip,0.005,7084,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0052_Kobe_(Hyogo-ken_Nanbu).AT2,0.099977933399227
RSN0053,53,Chi-Chi (Taiwan-01),1999,Station_Chi-_053,7.662901134860671,7.963951645705117,760.2783342370823,Reverse,0.005,8261,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0053_Chi-Chi_(Taiwan-01).AT2,0.20187743109453474
RSN0054,54,Kocaeli (Turkey),1999,Station_Koca_054,7.551141128230592,52.67984940113846,395.60314574133565,Strike-Slip,0.005,8082,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0054_Kocaeli_(Turkey).AT2,0.06965734455275803
RSN0055,55,Landers,1992,Station_Land_055,7.433213728384319,3.5161491716808446,479.47181933993636,Strike-Slip,0.005,7893,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0055_Landers.AT2,0.2220777450174398
RSN0056,56,San Fernando,1971,Station_San _056,6.74449355680388,3.97608730777322,380.57309073188895,Reverse,0.005,6791,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0056_San_Fernando.AT2,0.14544503251111263
RSN0057,57,Hector Mine,1999,Station_Hect_057,7.167184747639208,15.937207005107542,295.93730679026186,Strike-Slip,0.005,7467,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0057_Hector_Mine.AT2,0.11312057610325638
RSN0058,58,Duzce (Turkey),1999,Station_Duzc_058,7.083670538989325,4.5493271798735595,390.95481043495954,Strike-Slip,0.005,7334,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0058_Duzce_(Turkey).AT2,0.1712092774431309
RSN0059,59,Christchurch,2011,Station_Chri_059,6.057400031033753,8.585000680502368,361.2527583585311,Reverse-Oblique,0.005,5692,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0059_Christchurch.AT2,0.07796576248784749
RSN0060,60,Tottori (Japan),2000,Station_Tott_060,6.787073161042581,3.472432568243252,911.9309517640454,Strike-Slip,0.005,6859,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0060_Tottori_(Japan).AT2,0.15349543475816357
RSN0061,61,Morgan Hill,1984,Station_Morg_061,6.413336591884958,20.00862956562571,280.0612316434731,Strike-Slip,0.005,6261,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0061_Morgan_Hill.AT2,0.06522606904064626
RSN0062,62,Whittier Narrows-01,1987,Station_Whit_062,6.057348510343938,4.835267236576063,673.9000853440211,Reverse,0.005,5692,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0062_Whittier_Narrows-01.AT2,0.09336515365894385
RSN0063,63,Parkfield-02,2004,Station_Park_063,6.1458948174144306,52.265234204107834,280.5554568450503,Strike-Slip,0.005,5833,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0063_Parkfield-02.AT2,0.031186108923972403
RSN0064,64,Darfield (New Zealand),2010,Station_Darf_064,6.99044921629593,12.792432005014952,209.24158406717427,Strike-Slip,0.005,7185,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0064_Darfield_(New_Zealand).AT2,0.11330883064817726
RSN0065,65,Imperial Valley-06,1979,Station_Impe_065,6.42490897495044,5.397767208481664,785.6197101820097,Strike-Slip,0.005,6280,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0065_Imperial_Valley-06.AT2,0.11198117806136383
RSN0066,66,Loma Prieta,1989,Station_Loma_066,6.832466385004255,30.71480670145832,168.29113996971975,Reverse-Oblique,0.005,6932,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0066_Loma_Prieta.AT2,0.06504271815984923
RSN0067,67,Northridge-01,1994,Station_Nort_067,6.776132670478136,91.99420693741955,161.53073259455545,Reverse,0.005,6842,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0067_Northridge-01.AT2,0.0302034637635316
RSN0068,68,Kobe (Hyogo-ken Nanbu),1995,Station_Kobe_068,7.075845266159338,45.655909317113085,219.58806319742393,Strike-Slip,0.005,7321,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0068_Kobe_(Hyogo-ken_Nanbu).AT2,0.05826882736815117
RSN0069,69,Chi-Chi (Taiwan-01),1999,Station_Chi-_069,7.8,81.97905218087007,215.54222175383654,Reverse,0.005,8480,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0069_Chi-Chi_(Taiwan-01).AT2,0.05914701664856311
RSN0070,70,Kocaeli (Turkey),1999,Station_Koca_070,7.2296520551590575,100.71167523500033,192.1686247856576,Strike-Slip,0.005,7567,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0070_Kocaeli_(Turkey).AT2,0.036723347628572205
RSN0071,71,Landers,1992,Station_Land_071,7.497253039415654,68.1423586463273,247.7846240362297,Strike-Slip,0.005,7996,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0071_Landers.AT2,0.05660933263813206
RSN0072,72,San Fernando,1971,Station_San _072,6.588161613228407,33.240460008182026,849.0718120994319,Reverse,0.005,6541,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0072_San_Fernando.AT2,0.05385327839973505
RSN0073,73,Hector Mine,1999,Station_Hect_073,7.056345921102488,83.01973586596806,494.7599108178997,Strike-Slip,0.005,7290,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0073_Hector_Mine.AT2,0.038204136364672944
RSN0074,74,Duzce (Turkey),1999,Station_Duzc_074,7.442052763934732,58.90329296248045,418.3426012173902,Strike-Slip,0.005,7907,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0074_Duzce_(Turkey).AT2,0.06064642381829942
RSN0075,75,Christchurch,2011,Station_Chri_075,6.253028958727454,99.43830901738006,204.51762635111697,Reverse-Oblique,0.005,6005,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0075_Christchurch.AT2,0.021125438307271868
RSN0076,76,Tottori (Japan),2000,Station_Tott_076,6.835493613507933,5.715411522478766,781.1522190475416,Strike-Slip,0.005,6937,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0076_Tottori_(Japan).AT2,0.13953937868906036
RSN0077,77,Morgan Hill,1984,Station_Morg_077,6.033345512377104,3.082203085149853,247.2852003917099,Strike-Slip,0.005,5653,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0077_Morgan_Hill.AT2,0.10182997955310505
RSN0078,78,Whittier Narrows-01,1987,Station_Whit_078,6.020787464001657,4.5296880723400745,198.76565651528296,Reverse,0.005,5633,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0078_Whittier_Narrows-01.AT2,0.09295565623615867
RSN0079,79,Parkfield-02,2004,Station_Park_079,6.3131310160084855,85.22962039351835,983.9714582414665,Strike-Slip,0.005,6101,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0079_Parkfield-02.AT2,0.024442695604794062
RSN0080,80,Darfield (New Zealand),2010,Station_Darf_080,6.938421763455178,63.58231443847697,457.55667476980597,Strike-Slip,0.005,7101,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0080_Darfield_(New_Zealand).AT2,0.04305966766481357
RSN0081,81,Imperial Valley-06,1979,Station_Impe_081,6.733440554157031,84.43350105990554,300.8291750515353,Strike-Slip,0.005,6774,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0081_Imperial_Valley-06.AT2,0.031343194194042905
RSN0082,82,Loma Prieta,1989,Station_Loma_082,7.042522331231985,9.281366568736432,322.5590430952889,Reverse-Oblique,0.005,7268,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0082_Loma_Prieta.AT2,0.13347634985792922
RSN0083,83,Northridge-01,1994,Station_Nort_083,6.701666869028422,54.51069465483735,177.36951825143046,Reverse,0.005,6723,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0083_Northridge-01.AT2,0.04174412193866528
RSN0084,84,Kobe (Hyogo-ken Nanbu),1995,Station_Kobe_084,6.716926101648249,3.0487713095344167,586.3700842971731,Strike-Slip,0.005,6747,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0084_Kobe_(Hyogo-ken_Nanbu).AT2,0.15123761410850403
RSN0085,85,Chi-Chi (Taiwan-01),1999,Station_Chi-_085,7.7893517852775815,14.111642721191155,611.814368749502,Reverse,0.005,8463,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0085_Chi-Chi_(Taiwan-01).AT2,0.17156966147410976
RSN0086,86,Kocaeli (Turkey),1999,Station_Koca_086,7.645809607620085,4.4029191812929955,715.1990334245162,Strike-Slip,0.005,8233,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0086_Kocaeli_(Turkey).AT2,0.23854810491352338
RSN0087,87,Landers,1992,Station_Land_087,7.612873687756826,3.2483762113902626,355.7361750582837,Strike-Slip,0.005,8181,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0087_Landers.AT2,0.25024896389638146
RSN0088,88,San Fernando,1971,Station_San _088,6.7930277354887005,2.8969004020116795,819.9626140322976,Reverse,0.005,6869,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0088_San_Fernando.AT2,0.15949704634761394
RSN0089,89,Hector Mine,1999,Station_Hect_089,6.813055318673972,50.54597490350544,492.11242114185234,Strike-Slip,0.005,6901,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0089_Hector_Mine.AT2,0.04682519517867082
RSN0090,90,Duzce (Turkey),1999,Station_Duzc_090,7.0244220533917305,4.780818653803381,299.6231348065546,Strike-Slip,0.005,7239,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0090_Duzce_(Turkey).AT2,0.16339197046346723
RSN0091,91,Christchurch,2011,Station_Chri_091,6.173573605864556,4.482530379723461,439.8379379293587,Reverse-Oblique,0.005,5878,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0091_Christchurch.AT2,0.10176579525728652
RSN0092,92,Tottori (Japan),2000,Station_Tott_092,6.595816172164434,10.775098034952144,324.01424849023067,Strike-Slip,0.005,6553,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0092_Tottori_(Japan).AT2,0.09723073425796115
RSN0093,93,Morgan Hill,1984,Station_Morg_093,6.489975682239566,19.2815559385777,677.0340633889379,Strike-Slip,0.005,6384,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0093_Morgan_Hill.AT2,0.06951885144065621
RSN0094,94,Whittier Narrows-01,1987,Station_Whit_094,5.84097709829514,5.700816901278316,220.87978931122464,Reverse,0.005,5346,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0094_Whittier_Narrows-01.AT2,0.07877537209391162
RSN0095,95,Parkfield-02,2004,Station_Park_095,6.30006082764308,7.751565620960365,289.0654110499895,Strike-Slip,0.005,6080,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0095_Parkfield-02.AT2,0.09300576407769637
RSN0096,96,Darfield (New Zealand),2010,Station_Darf_096,7.2224697465555465,73.73770470752645,252.6407791917324,Strike-Slip,0.005,7556,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0096_Darfield_(New_Zealand).AT2,0.045726144297087525
RSN0097,97,Imperial Valley-06,1979,Station_Impe_097,6.47512478311877,17.78678913204301,253.59697680366986,Strike-Slip,0.005,6360,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0097_Imperial_Valley-06.AT2,0.07187775289986978
RSN0098,98,Loma Prieta,1989,Station_Loma_098,6.917497788389491,10.31803406349096,893.3295895314899,Reverse-Oblique,0.005,7068,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0098_Loma_Prieta.AT2,0.11911133374935158
RSN0099,99,Northridge-01,1994,Station_Nort_099,6.514092244533892,19.828730688992135,464.2022782961871,Reverse,0.005,6423,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0099_Northridge-01.AT2,0.06945431469956193
RSN0100,100,Kobe (Hyogo-ken Nanbu),1995,Station_Kobe_100,6.823682873098608,5.816687270889605,630.4379982578604,Strike-Slip,0.005,6918,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0100_Kobe_(Hyogo-ken_Nanbu).AT2,0.13788349523787755
RSN0101,101,Chi-Chi (Taiwan-01),1999,Station_Chi-_101,7.651128299136956,3.2701468159690177,741.305527618609,Reverse,0.005,8242,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0101_Chi-Chi_(Taiwan-01).AT2,0.25548504320935883
RSN0102,102,Kocaeli (Turkey),1999,Station_Koca_102,7.600041317688927,3.050542779829347,748.0063637490929,Strike-Slip,0.005,8160,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0102_Kocaeli_(Turkey).AT2,0.25141515772456957
RSN0103,103,Landers,1992,Station_Land_103,7.527200476625931,41.7995872539802,478.3614067535033,Strike-Slip,0.005,8044,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0103_Landers.AT2,0.08002451811424675
RSN0104,104,San Fernando,1971,Station_San _104,6.450505095682537,2.621534028662404,548.9004280498692,Reverse,0.005,6321,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0104_San_Fernando.AT2,0.13323568152433937
RSN0105,105,Hector Mine,1999,Station_Hect_105,7.18264017378736,18.51395516379049,392.9972801171429,Strike-Slip,0.005,7492,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0105_Hector_Mine.AT2,0.10580301931841218
RSN0106,106,Duzce (Turkey),1999,Station_Duzc_106,7.047148672364419,76.46484400459707,224.83893302606137,Strike-Slip,0.005,7275,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0106_Duzce_(Turkey).AT2,0.040290207690696175
RSN0107,107,Christchurch,2011,Station_Chri_107,6.386768815576416,17.06884685910288,219.78233852191659,Reverse-Oblique,0.005,6219,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0107_Christchurch.AT2,0.06975902270485207
RSN0108,108,Tottori (Japan),2000,Station_Tott_108,6.804628606095566,24.92426291317759,230.4105856707899,Strike-Slip,0.005,6887,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0108_Tottori_(Japan).AT2,0.07236679521746908
RSN0109,109,Morgan Hill,1984,Station_Morg_109,6.164474199380833,5.75909927712546,169.26252840199035,Strike-Slip,0.005,5863,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0109_Morgan_Hill.AT2,0.09461879754431109
RSN0110,110,Whittier Narrows-01,1987,Station_Whit_110,6.192097560833498,20.66810063090611,425.4518382568583,Reverse,0.005,5907,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0110_Whittier_Narrows-01.AT2,0.056436344308943134
RSN0111,111,Parkfield-02,2004,Station_Park_111,6.211346665477324,30.0140511030443,396.0697447023036,Strike-Slip,0.005,5938,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0111_Parkfield-02.AT2,0.046126514224899315
RSN0112,112,Darfield (New Zealand),2010,Station_Darf_112,7.184526146963205,19.18470041930123,812.7361558156313,Strike-Slip,0.005,7495,/Users/rahul/seismoFNO/data/raw/ground_motions/RSN0112_Darfield_(New_Zealand).AT2,0.10396599944724863
